obs_idx,group_name,group_idx,country_name,country_idx,female,age,GROUP,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11P1,Q11P2,Q11P3,Q11P4,Q11P5,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29P1,Q29P2,Q29P3,Q29P4,Q29P5,Q29P6,Q29P7,Q29P8,Q30,Q31,Q32,Q33P1,Q33P2,Q33P3,Q33P4,Q33P5,Q34,Q35P1,Q35P2,Q35P3,Q35P4,Q35P5,Q35P6,Q36,Q37P1,Q37P2,Q37P3,Q37P4,Q37P5,Q37P6,Q37P7,Q37P8,Q37P9,Q37P10,Q37P11,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50P1,Q50P2,Q50P3,Q50P4,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66P1,Q66P2,Q66P3,Q66P4,Q66P5,Q67,Q68,Q69,Q70P1,Q70P2,Q70P3,Q71,Q72,Q73P1,Q73P2,Q73P3,Q73P4,Q73P5,Q74P1,Q74P2,Q74P3,Q74P4,Q75,Q76,Q77,Q78,Q79P1,Q79P2,Q79P3,Q79P4,Q79P5,Q79P6,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,supp_islam_mov,relg_awakening,pol_islam,pol_islam_binary,quran_freq,ref_relg_freq,personal_islam,sharia_sociolife,sharia_crim_civ,relg_study,social_islam,sep_relg_politics,priv_relg,opp_pol_relg,per_id,nation_id,pol_efficacy,pol_active,be_pol_active,polpart_shura,uni,student,unemployed,finan_satis,gov_ignore_ppl,offic_selfinterest,obey_lead,caliphate,over40,coop,west_values_corrupt,censor_west,west_reason_underdev,muslim_brotherhood,islamist,arab_nationalism,socialism,liberalism,income,us_me_policies,us_relation,arab_israel_sol,life_security,newspaper_freq,rev_sep_relg_politics,rev_priv_relg,pol_islam0,persocio_islam0,pol_act0,att_us0,critic_gov0,neg_west0
350,Kuwaiti,1,Kuwait,1,0,20-29,KUWAIT,MALE,INTERMEDIATE SCHL,20-29,MARRIED,EMPLOYED,HI GRAD TEC&ADM PROF,181200 801900 701800,E-BOULAK K-REQA,K GOVTH E ROM P ANNX,NA,r3,r1,r5,r2,r4,NO,NO,NO,NO,DO NOT AGREE,NO,AGREE,NO,YES,AGREE,YES,AGREE,YES,DO NOT KNOW,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,r2,r5,r1,r8,r6,r3,r7,r4,UNCERTAIN,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r4,r5,r1,LEGAL PUNISHMENT,r4,r5,r6,r1,r2,r3,SOMETIMES,r2,r9,r10,r1,r6,r4,r7,r5,r3,r8,r11,UNCERTAIN,DO NOT KNOW,SOMEWHAT AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,DO NOT KNOW,DAILY,PARLM W POL PARTIES,YES,DO NOT AGREE,r4,r1,r2,r3,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,SOMEWHAT AGREE,YES,ARAB NATIONALISM,YES,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,SOMEWHAT AGREE,CHANGE IN RELG BELIF,DAILY,CONTRDICT ISLM TEACH,r1,r5,r3,r4,r2,DO NOT KNOW,YES,IN FAVOR OF,KING FAHAD AL-SAUD,E-QUTB K-SH P-ASSAD,E-KISM K-JSAB P-KHUS,ABOUT THE SAME,SOMEWHAT,r3,r2,r4,r1,r5,r1,r3,r2,r4,AGREE,INTERNATIONAL CONFER,ALWAYS,DO NOT KNOW,r1,r6,r4,r3,r2,r5,ARAB-SOCIALISM(NATI),DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT KNOW,DO NOT KNOW,AGREE,PARTLY YES,DO NOT AGREE,E-PPS K-PPS P-PJR,YES,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,DO NOT KNOW,DO NOT KNOW,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1980S,NA,NA,3,4,3.5,1,3,3,3,2,1,2,1.6666666666666667,2,3,2.5,muslim,islamic world,1,1,1,0,0,0,0,3,1,2,1,1,0,islamic unity,3,3,2,0,0,1,0,0,8,3,2,1,3,5,3,2,3,2.2,3,2.5,1.5,2.6666666666666665
351,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,POST SECONDARY SCHL,20-29,NEVER MARRIED,EMPLOYED,CLERICAL PROF,6180 201300 101200,E-HELWAN K-SABALSALM,K GOVTH E ROM P ANNX,NA,r3,r1,r4,r2,r5,NO,NO,YES,YES,DO NOT KNOW,YES,DO NOT AGREE,YES,YES,AGREE,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r5,r4,r1,LEGAL PUNISHMENT,r5,r3,NA,r1,r2,r4,SOMETIMES,r4,r6,r8,r3,r10,r7,r5,r1,r2,r9,r11,UNCERTAIN,AGREE,DO NOT KNOW,UNCETAIN,SOMEWHAT AGREE,ALWAYS,DO NOT AGREE,AGREE,NEVER,MAJLES SHURA,NO,DO NOT AGREE,r4,r2,r3,r1,WOM RGHT DIV B-ISLAM,SOMEWHAT WORSE,STRONGLY AGREE,YES,ARAB NATIONALISM,NO,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r1,r2,r3,r5,r4,DO NOT KNOW,YES,IN FAVOR OF,E&P ARAFAT K-ASAB,E-MKAM K-SSAB P-HABS,E-KISM K-JSAB P-KHUS,STRONGER,NO,r3,r2,r4,r1,r5,r1,r2,r3,r4,AGREE,INTERNATIONAL CONFER,SOMETIMES,DO NOT KNOW,r6,r2,r4,r3,r5,r1,ISLAMIC SHARIAH,DO NOT KNOW,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,NO,STRONGLY AGREE,E-CPT K-PIMPO P-PRPA,NO,E-DNP K-P WOMEN/SPOT,DO NOT AGREE,DO NOT KNOW,AGREE,DO NOT KNOW,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1970S,NA,NA,1,4,2.5,0,3,3,3,2,4,NA,3,2,1,1.5,muslim,arab world,NA,0,0,1,0,0,0,3,4,1,1,NA,0,islamic unity,4,NA,2,0,0,1,0,0,2,2,NA,1,3,5,3,4,3,3,1,2,2.5,3
352,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,SECONDARY SCHOOL,20-29,MARRIED,EMPLOYED,CLERICAL PROF,101120 401500 301400,E-ELDOKKI K-RAWDA,APARTMENT,250,r2,r1,r5,r3,r4,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AGREE,YES,AGREE,AGREE,AGREE,AGREE,r3,r5,r1,r7,r6,r2,r8,r4,SOMEWHAT AGREE,NA,NA,r3,r2,r4,r5,r1,4 AS STIPUL IN ISLAM,r3,r5,r6,r1,r2,r4,SOMETIMES,r5,r10,r4,r9,r2,r8,r3,r7,r1,r6,r11,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,AGREE,SOMETIMES,PARLM W/O POL PARTIS,YES,AGREE,r4,r1,r3,r2,WOMEN RGHT DIVORCE,GETTING WORSE,STRONGLY AGREE,YES,MUSLIM BROTHERHOOD,NO,AGREE,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,CHANGE IN CUS&TRAD,SEVERAL TIMES A WEEK,COMPAT ISLM TEACH,r2,r1,r3,r5,r4,NO,YES,AGAINST,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,E-MKAM K-SSAB P-HABS,VERY LOW,SOMEWHAT,r2,r5,r3,r1,r4,r2,r1,r3,r4,DO NOT AGREE,INTERNATIONAL CONFER,ALWAYS,NO,r5,r4,r6,r3,r1,r2,ISLAMIC SHARIAH,AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,PARTLY YES,STRONGLY AGREE,E-CPT K-PIMPO P-PRPA,YES,E-MUSR K-NAHD P-FTHR,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,LESS RELIGIOUS,FINAN WORSETHN MST,SOMEWHAT SECURE,E-OPENDED K-P 1970S,K-O/E P-NO ONE,NA,3,1,2,0,3,NA,3,NA,NA,3,3,3,1,2,muslim,islamic world,0,1,1,0,0,0,0,1,4,1,1,1,0,islamic unity,4,3,3,1,1,0,0,0,4,1,3,1,3,4,2,4,2.5,3,3,2,2.5,3.3333333333333335
353,Kuwaiti,1,Kuwait,1,0,20-29,KUWAIT,MALE,UNIVERSITY DEG&GRAD,20-29,MARRIED,EMPLOYED,CLERICAL PROF,201300 901&OV 801&0V,K-SALMIYA,APARTMENT,300,NA,r1,NA,NA,NA,NO,YES,NO,YES,AGREE,NO,DO NOT KNOW,YES,YES,DO NOT AGREE,NO,AGREE,YES,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,r3,r5,r1,NA,r7,r2,r6,r4,SOMEWHAT AGREE,STRONGLY AGREE,SOMETIMES,r2,r1,r4,r5,r3,LEGAL PUNISHMENT,r4,r3,r5,r1,r2,NA,ALWAYS,r2,r5,r3,r1,r6,r9,r8,r7,r4,r10,r11,SOMEWHAT AGREE,DO NOT AGREE,SOMEWHAT AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,AGREE,DAILY,MAJLES SHURA,YES,DO NOT AGREE,r4,r1,r2,r3,MEN RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,E DEM K-P SHARIAH,NO,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r1,r2,r3,r5,r4,YES,YES,DO NOT KNOW,HASSAN EL-BANA,E-KISM K-JSAB P-KHUS,E-GHAD K-QUTB P-GHAD,VERY LOW,SOMEWHAT,r2,r5,r3,r4,r1,r1,r2,r3,r4,AGREE,MILITARY MEANS,ALWAYS,NO,r4,r5,r3,r1,r2,r6,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,PARTLY YES,STRONGLY AGREE,E-CPT K-PIMPO P-PRPA,YES,E-BUSS/YTH K-P F&A M,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1950S,K-O/E P-DEMOC PLO,NA,3,2,2.5,0,4,3,3.5,4,4,3,3.6666666666666665,3,1,2,muslim,islamic world,0,1,1,1,1,0,0,3,4,1,0,1,0,afr|gulf|jord,4,3,1,0,0,0,0,0,9,1,3,0,3,5,2,4,2.75,3.6,3,2,2.5,2.6666666666666665
354,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,SECONDARY SCHOOL,20-29,MARRIED,EMPLOYED,CLERICAL PROF,161180 701800 601700,E-ZAHR&SAKSQ K-ARDYA,K GOVTH E ROM P ANNX,NA,NA,NA,NA,r1,NA,NO,YES,NO,DO NOT KNOW,AGREE,NO,AGREE,NO,NO,DO NOT AGREE,NO,AGREE,YES,AGREE,DO NOT KNOW,DO NOT AGREE,DO NOT AGREE,r4,r5,r1,r8,r7,r2,r6,r3,SOMEWHAT AGREE,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,NA,NA,NA,r1,r2,r3,SOMETIMES,r5,r4,r10,r1,r11,r6,r8,r7,r9,r3,r2,UNCERTAIN,AGREE,SOMEWHAT AGREE,NO,SOMEWHAT AGREE,ALWAYS,AGREE,DO NOT AGREE,NEVER,MAJLES SHURA,YES,DO NOT AGREE,r4,r3,r2,r1,WOM RGHT DIV B-ISLAM,SOMEWHAT WORSE,SOMEWHAT AGREE,YES,ARAB NATIONALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,K-P NOTHING,DAILY,CONTRDICT CUS&TRAD,r1,r2,r3,r5,r4,YES,YES,IN FAVOR OF,E-QUTB K-SH P-ASSAD,E-MKAM K-SSAB P-HABS,E-KISM K-JSAB P-KHUS,STRONGER,SOMEWHAT,r2,r3,r5,r1,r4,r1,r3,r2,r4,AGREE,MILITARY MEANS,ALWAYS,DO NOT KNOW,r4,r6,r3,r5,r1,r2,ARAB-SOCIALISM(NATI),DO NOT AGREE,AGREE,AGREE,DO NOT KNOW,DO NOT KNOW,DO NOT KNOW,PARTLY YES,SOMEWHAT AGREE,E-CPT K-PIMPO P-PRPA,YES,E-WOM/SR K-P MT ONE,AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,E-OPENDED K-P 1970S,NA,NA,3,4,3.5,1,3,3,3,2,2,3,2.3333333333333335,2,1,1.5,arab,arab world,0,1,1,1,0,0,0,3,3,2,0,1,0,islamic unity,3,3,1,0,0,1,0,0,7,1,3,0,4,5,3,4,3.5,2.6,3,2,2.5,2.3333333333333335
355,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,POST SECONDARY SCHL,20-29,MARRIED,EMPLOYED,CLERICAL PROF,6180 201300 101200,K-BAYAN,K GOVTH E ROM P ANNX,NA,r3,r1,r2,r5,r4,NO,DO NOT KNOW,NO,YES,AGREE,YES,DO NOT KNOW,DO NOT KNOW,NO,AGREE,NO,AGREE,YES,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,r3,r4,r1,r5,r6,r2,r8,r7,SOMEWHAT AGREE,YES-IF INTP MOD NEED,SOMETIMES,r3,r2,r5,r4,r1,SEPAR RIGHT FR WOMEN,r5,r4,r6,r1,r3,r2,ALWAYS,r4,r7,r3,r6,r8,r2,r10,r9,r5,r1,r11,DO NOT AGREE,AGREE,SOMEWHAT AGREE,NO,SOMEWHAT AGREE,ALWAYS,AGREE,DO NOT AGREE,NEVER,MAJLES SHURA,YES,DO NOT AGREE,r4,r3,r1,r2,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,YES,ARAB NATIONALISM,NO,DO NOT AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT ISLM TEACH,r2,r1,r4,r5,r3,YES,YES,IN FAVOR OF,E-QUTB K-SH P-ASSAD,E&P ARAFAT K-ASAB,NA,ABOUT THE SAME,SOMEWHAT,r1,r5,r3,r2,r4,r2,r1,r4,r3,AGREE,MILITARY MEANS,ALWAYS,YES,r5,r6,r4,r3,r1,r2,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,PARTLY YES,DO NOT AGREE,E-CPT K-PIMPO P-PRPA,NO,E-MUSR K-NAHD P-FTHR,DO NOT AGREE,AGREE,AGREE,AGREE,AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,E-OPENDED K-P 1960S,NA,NA,3,4,3.5,1,4,3,3.5,2,4,3,3,1,3,2,muslim,mediterr|gulf|sham com,1,1,0,1,0,0,0,3,1,1,0,1,0,islamic unity,4,3,3,0,0,1,0,0,2,1,1,0,4,5,4,2,3.25,3.2,2,1,1,3.3333333333333335
356,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,SECONDARY SCHOOL,20-29,MARRIED,EMPLOYED,CLERICAL PROF,161180 701800 601700,E-ABBASSIA K-JABRIYA,APARTMENT,350,r4,r1,r5,r2,r3,NO,DO NOT KNOW,NO,YES,AGREE,YES,DO NOT AGREE,NO,YES,DO NOT AGREE,NO,AGREE,YES,DO NOT KNOW,AGREE,DO NOT AGREE,AGREE,r2,r4,r1,r8,r6,r3,r7,r5,STRONGLY AGREE,STRONGLY AGREE,ALWAYS,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,NA,NA,NA,r1,NA,NA,SOMETIMES,r7,r6,r8,r4,r9,r3,r11,r5,r2,r1,r10,DO NOT AGREE,AGREE,STRONGLY AGREE,NO,DO NOT KNOW,ALWAYS,AGREE,AGREE,SOMETIMES,MAJLES SHURA,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,ARAB NATIONALISM,NO,AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,5,E-NON K-P COM W ISLM,DAILY,CONTRDICT CUS&TRAD,r2,r1,r3,r5,r4,DO NOT KNOW,NO,IN FAVOR OF,E&P ARAFAT K-ASAB,E-MKAM K-SSAB P-HABS,E-KISM K-JSAB P-KHUS,STRONGER,SOMEWHAT,r2,r5,r3,r1,r4,r1,r2,r3,r4,AGREE,MILITARY MEANS,ALWAYS,YES,r5,r4,r6,r1,r2,r3,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,PARTLY YES,DO NOT AGREE,E-CPT K-PIMPO P-PRPA,YES,E-RYOS K-YAQZ P-HADF,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,FINAN WORSETHN MST,SOMEWHAT SECURE,E-OPENDED K-P 1960S,NA,NA,3,4,3.5,1,3,4,3.5,4,4,4,4,1,NA,1,muslim,islamic world,0,1,1,1,0,0,0,1,1,1,1,1,0,islamic unity,4,3,3,0,0,1,0,0,7,1,2,0,3,5,4,NA,3.6666666666666665,3.8,3,1.5,1,3.3333333333333335
357,Kuwaiti,1,Kuwait,1,0,20-29,KUWAIT,MALE,UNIVERSITY DEG&GRAD,20-29,NEVER MARRIED,EMPLOYED,CLERICAL PROF,81100 301400 201300,E-BAB ELLOUK K-KEFAN,VILLA,NA,r2,r1,r3,r4,r5,NO,YES,NO,DO NOT KNOW,AGREE,YES,AGREE,NO,YES,AGREE,NO,AGREE,NO,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,r3,r5,r1,r8,r7,r2,r6,r4,UNCERTAIN,SOMEWHAT AGREE,SOMETIMES,r2,r3,r4,r5,r1,LEGAL PUNISHMENT,r3,r4,r5,r1,r2,NA,SOMETIMES,r4,r8,NA,r5,r7,r9,r1,r3,r6,r10,r2,SOMEWHAT AGREE,DO NOT KNOW,STRONGLY AGREE,NO,DO NOT KNOW,ALWAYS,DO NOT KNOW,AGREE,SOMETIMES,PARLM W POL PARTIES,YES,DO NOT AGREE,r4,r1,r2,r3,MEN RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,YES,E DEM K-P SHARIAH,DO NOT KNOW,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r2,r1,r3,r5,r4,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,E-KISM K-JSAB P-KHUS,STRONGER,UNCERTAIN,r1,r5,r2,r3,r4,r1,r2,r3,r4,AGREE,INTERNATIONAL CONFER,ALWAYS,NO,r5,r6,r3,r1,r2,r4,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT KNOW,AGREE,AGREE,NO,STRONGLY AGREE,E-CPT K-PIMPO P-PRPA,YES,E-RYOS K-YAQZ P-HADF,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,E-OPENDED K-P 1960S,K-O/E P-NO ONE,NA,2,4,3,1,3,3,3,3,2,2,2.3333333333333335,3,1,2,muslim,islamic world,1,0,1,0,1,0,0,3,4,2,1,0,0,islamic unity,4,3,1,0,0,0,0,0,3,1,3,1,4,5,2,4,3,2.6,2,2,3,2.6666666666666665
358,Kuwaiti,1,Kuwait,1,0,30-39,KUWAIT,MALE,UNIVERSITY DEG&GRAD,30-39,NEVER MARRIED,EMPLOYED,HI GRAD TEC&ADM PROF,121140 501600 401500,E-ZAMALEK K-ABDULSLM,VILLA,NA,r1,r2,r3,r5,r4,NO,YES,NO,DO NOT KNOW,AGREE,NO,AGREE,YES,YES,AGREE,NO,DO NOT AGREE,NO,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,r2,r5,r3,r8,r7,r1,r6,r4,SOMEWHAT AGREE,STRONGLY AGREE,SOMETIMES,r2,r1,r4,r5,r3,LEGAL PUNISHMENT,r2,r3,r5,r1,r4,NA,SOMETIMES,r6,r9,r3,r1,r8,r4,r10,r7,r5,r2,r11,DO NOT AGREE,AGREE,STRONGLY AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,AGREE,SOMETIMES,PARLM W/O POL PARTIS,NO,DO NOT AGREE,r4,r3,r1,r2,WOM RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,ARAB NATIONALISM,DO NOT KNOW,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT CUS&TRAD,r1,r5,r3,r2,r4,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,HASSAN EL-BANA,E&P ARAFAT K-ASAB,STRONGER,YES,r1,r4,r5,r2,r3,r2,r3,r1,r4,AGREE,ISRAEL-PLO TALKS,SOMETIMES,YES,r2,r4,r3,r6,r1,r5,PLURAL COMPET US&WE,AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,PARTLY YES,UNCERTAIN,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,DO NOT KNOW,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1960S,NA,NA,4,4,4,1,3,3,3,4,2,3,3,1,3,2,national,mediterr|gulf|sham com,1,1,0,0,1,0,0,3,2,1,1,0,0,afr|gulf|jord,4,1,1,0,0,1,0,0,5,3,3,1,3,5,4,2,3.5,3,2,3,1.5,2
359,Kuwaiti,1,Kuwait,1,0,30-39,KUWAIT,MALE,UNIVERSITY DEG&GRAD,30-39,NEVER MARRIED,EMPLOYED,CLERICAL PROF,121140 501600 401500,K-FAIHA,VILLA,NA,r2,r3,r5,r1,r4,NO,NO,YES,YES,DO NOT AGREE,YES,DO NOT AGREE,YES,YES,DO NOT AGREE,NO,DO NOT AGREE,NO,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,r1,r5,r4,r8,r6,r3,r6,r2,UNCERTAIN,YES-IF INTP MOD NEED,RARELY,r1,r2,r3,r4,r5,4 AS STIPUL IN ISLAM,r4,r3,r5,r1,r2,NA,SOMETIMES,r3,r9,r8,r2,r6,r11,r1,r5,r7,r6,r4,NA,DO NOT AGREE,DO NOT KNOW,NO,SOMEWHAT AGREE,ALWAYS,DO NOT AGREE,AGREE,EVERY FRIDAY,PARLM W POL PARTIES,NO,AGREE,r4,r3,r2,r1,WOM RGHT DIV B-ISLAM,GETTING BETTER,DO NOT AGREE,YES,ARAB NATIONALISM,NO,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,SOMEWHAT AGREE,CHANGE IN CUS&TRAD,DAILY,COMPAT ISLM TEACH,r1,r2,r4,r5,r3,YES,YES,AGAINST,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,E-KISM K-JSAB P-KHUS,STRONGER,SOMEWHAT,r1,r3,r5,r1,r2,r1,r2,r3,r4,DO NOT AGREE,INTERNATIONAL CONFER,ALWAYS,NO,r3,r4,r1,r6,r2,r5,PLURAL COMPET US&WE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,PARTLY YES,DO NOT AGREE,E-PPS K-PPS P-PJR,YES,E-AHAL K-TALI P-SKRA,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1980S,E-OTTE K-O/E P-KHUSN,NA,3,1,2,0,3,2,2.5,2,4,2,2.6666666666666665,NA,3,3,arab,arab world,1,1,1,0,1,0,0,3,1,1,0,0,0,arab unity,1,1,1,0,0,1,0,0,5,1,3,1,3,5,NA,2,2,2.6,3,2,1,1
360,Kuwaiti,1,Kuwait,1,1,20-29,KUWAIT,FEMALE,POST SECONDARY SCHL,20-29,NEVER MARRIED,EMPLOYED,CLERICAL PROF,60&LES 200&LS 100&LS,K-JAHRA,K GOVTH E ROM P ANNX,NA,NA,NA,NA,NA,NA,NO,DO NOT KNOW,NO,YES,AGREE,YES,DO NOT KNOW,YES,YES,DO NOT KNOW,NO,AGREE,DO NOT KNOW,AGREE,AGREE,DO NOT AGREE,AGREE,r3,r4,r1,r8,r6,r2,r5,r7,SOMEWHAT AGREE,SOMEWHAT AGREE,SOMETIMES,r3,r2,r4,r5,r1,SEPAR RIGHT FR WOMEN,r2,NA,r1,r5,r4,r3,SOMETIMES,r7,r3,r4,r8,r6,r5,r9,r10,r2,r1,r11,UNCERTAIN,DO NOT KNOW,DO NOT KNOW,NO,UNCERTAIN,ALWAYS,AGREE,DO NOT AGREE,RARELY,MAJLES SHURA,YES,DO NOT AGREE,r4,r3,r1,r2,WOM RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,ARAB NATIONALISM,NO,DO NOT AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,SEVERAL TIMES A WEEK,COMPAT ISLM TEACH,r3,r1,r4,r5,r2,NO,NO,IN FAVOR OF,E-QUTB K-SH P-ASSAD,E-MKAM K-SSAB P-HABS,E-KISM K-JSAB P-KHUS,NONE,UNCERTAIN,r2,r5,r3,r1,r4,r2,r4,r1,r3,AGREE,MILITARY MEANS,ALWAYS,DO NOT KNOW,r4,r5,r6,r1,r2,r3,ARAB-SOCIALISM(NATI),AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,PARTLY YES,SOMEWHAT AGREE,E-CPT K-PIMPO P-PRPA,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,E-OPENDED K-P 1970S,NA,NA,2,4,3,1,3,3,3,3,4,3,3.3333333333333335,2,3,2.5,NA,mediterr|gulf|sham com,0,1,0,1,0,0,0,3,3,1,1,0,0,islamic unity,4,3,3,0,0,1,0,0,1,1,3,0,3,4,3,2,2.75,3.2,2,2,2,3.3333333333333335
